"country","total_arrivals","arrivals_male","arrivals_female"
"ABW",2,0,2
"AFG",2750,2068,682
"AGO",169,121,48
"AIA",4,3,1
"ALB",1549,968,581
"AND",194,110,84
"ANT",2,0,2
"ARE",15461,9084,6377
"ARG",16051,8615,7436
"ARM",2158,915,1243
"ATA",6,3,3
"ATG",578,373,205
"AUS",889069,510076,378993
"AUT",33865,21168,12697
"AZE",3931,2155,1776
"BDI",157,79,78
"BEL",47579,28860,18719
"BEN",319,228,91
"BFA",209,181,28
"BGD",1165402,1094288,71114
"BGR",9556,5330,4226
"BHR",5914,3288,2626
"BHS",240,123,117
"BIH",2041,1208,833
"BLR",11138,5194,5944
"BLZ",277,146,131
"BMU",4,0,4
"BOL",1050,575,475
"BRA",35881,20305,15576
"BRB",231,107,124
"BRN",2588744,1409405,1179339
"BTN",1730,1118,612
"BVT",1,0,1
"BWA",518,233,285
"CAF",13,9,4
"CAN",192117,109803,82314
"CCK",3,2,1
"CHE",60473,35967,24506
"CHL",8897,4548,4349
"CHN",4008013,1928203,2079810
"CIV",685,482,203
"CMR",844,579,265
"COD",430,304,126
"COG",96,70,26
"COK",1,1,0
"COL",6282,3265,3017
"COM",547,323,224
"CPV",84,44,40
"CRI",2269,1300,969
"CUB",856,495,361
"CYP",2345,1495,850
"CZE",25563,14472,11091
"DEU",339408,204827,134581
"DJI",438,249,189
"DMA",1366,1054,312
"DNK",47641,28599,19042
"DOM",712,367,345
"DZA",22332,14055,8277
"ECU",2318,1145,1173
"EGY",61353,41949,19404
"ERI",538,305,233
"ESP",105701,59600,46101
"EST",8255,4262,3993
"ETH",1201,770,431
"FIN",28014,15835,12179
"FJI",5371,2762,2609
"FRA",335976,197461,138515
"FSM",29,15,14
"GAB",287,172,115
"GBR",780219,470507,309712
"GEO",1936,1227,709
"GHA",2582,1763,819
"GIB",2,0,2
"GIN",1748,1279,469
"GLP",1,1,0
"GMB",844,613,231
"GNB",26,23,3
"GNQ",62,35,27
"GRC",9507,6648,2859
"GRD",525,361,164
"GRL",4,2,2
"GTM",827,462,365
"GUY",197,117,80
"HKG",27640,12760,14880
"HMD",1,0,1
"HND",615,371,244
"HRV",7211,4915,2296
"HTI",240,167,73
"HUN",21586,11769,9817
"IDN",8477856,4091695,4386161
"IND",2345086,1606732,738354
"IOT",10,3,7
"IRL",51700,30982,20718
"IRN",61065,32851,28214
"IRQ",34226,22954,11272
"ISL",1437,785,652
"ISR",16,13,3
"ITA",123871,78662,45209
"JAM",717,298,419
"JOR",24557,15137,9420
"JPN",739722,466081,273641
"KAZ",39276,16197,23079
"KEN",13558,6815,6743
"KGZ",8974,4488,4486
"KHM",210154,106206,103948
"KIR",116,98,18
"KNA",2330,1695,635
"KOR",1057434,534237,523197
"KWT",22762,12254,10508
"LAO",55101,13740,41361
"LBN",8141,5216,2925
"LBR",288,235,53
"LBY",11524,8164,3360
"LCA",478,358,120
"LIE",241,156,85
"LKA",138706,88496,50210
"LSO",174,78,96
"LTU",14268,7023,7245
"LUX",1870,1118,752
"LVA",6777,3325,3452
"MAC",132,63,69
"MAR",28552,15016,13536
"MCO",103,59,44
"MDA",1083,547,536
"MDG",2161,936,1225
"MDV",80329,41887,38442
"MEX",22342,11478,10864
"MHL",111,82,29
"MKD",1332,724,608
"MLI",331,256,75
"MLT",1829,1125,704
"MMR",360931,191030,169901
"MNE",564,459,105
"MNG",16414,6896,9518
"MNP",3,2,1
"MOZ",956,510,446
"MRT",744,604,140
"MUS",41679,21214,20465
"MWI",662,369,293
"MYT",2,0,2
"NAM",616,296,320
"NCL",2,2,0
"NER",90,60,30
"NGA",15552,12450,3102
"NIC",243,123,120
"NLD",174610,103829,70781
"NOR",30007,17909,12098
"NPL",449691,423456,26235
"NRU",102,69,33
"NZL",113255,66803,46452
"OMN",39478,22830,16648
"PAK",355369,301501,53868
"PAN",947,460,487
"PER",4860,2529,2331
"PHL",1147669,417373,730296
"PLW",57,42,15
"PNG",2519,1446,1073
"POL",61737,32725,29012
"PRI",1,0,1
"PRK",9,8,1
"PRT",27939,15935,12004
"PRY",463,247,216
"PSE",10249,7219,3030
"QAT",5388,3249,2139
"REU",2,1,1
"ROU",25980,13884,12096
"RUS",281242,142179,139063
"RWA",297,168,129
"SAU",151906,84070,67836
"SDN",30589,17806,12783
"SEN",1799,1285,514
"SGP",34496707,19735426,14761281
"SGS",7,5,2
"SHN",2,2,0
"SLB",459,235,224
"SLE",739,487,252
"SLV",519,279,240
"SMR",81,56,25
"SOM",7257,4475,2782
"SPM",1,0,1
"SRB",2946,1620,1326
"SSD",972,639,333
"STP",48,31,17
"SUR",616,366,250
"SVK",14033,7696,6337
"SVN",5490,3019,2471
"SWE",53494,31335,22159
"SWZ",567,266,301
"SYC",2595,1074,1521
"SYR",20529,13097,7432
"TCA",3,0,3
"TCD",770,607,163
"TGO",262,208,54
"THA",5647418,3285770,2361648
"TJK",3545,2474,1071
"TKL",2,2,0
"TKM",5375,2974,2401
"TLS",6745,3957,2788
"TON",424,206,218
"TTO",1158,668,490
"TUN",18392,9460,8932
"TUR",50414,34652,15762
"TUV",14,7,7
"TWN",639102,301859,337243
"TZA",5973,3087,2886
"UGA",4255,1949,2306
"UKR",36714,18595,18119
"URY",2769,1284,1485
"USA",607643,355539,252104
"UZB",36853,22413,14440
"VAT",34,32,2
"VCT",75,47,28
"VEN",2871,1608,1263
"VNM",878361,288305,590056
"VUT",2970,2394,576
"WSM",113,52,61
"XXX",14334,8591,5743
"YEM",43725,30377,13348
"ZAF",45266,25596,19670
"ZAR",23,11,12
"ZMB",2169,1152,1017
"ZWE",4687,2233,2454
