"country","total_arrivals","arrivals_male","arrivals_female","longitude","latitude"
"ABW",2,0,2,-69.9667,12.5
"AFG",2750,2068,682,65,33
"AGO",169,121,48,18.5,-12.5
"AIA",4,3,1,-63.1667,18.25
"ALB",1549,968,581,20,41
"AND",194,110,84,1.6,42.5
"ANT",2,0,2,-68.75,12.25
"ARE",15461,9084,6377,54,24
"ARG",16051,8615,7436,-64,-34
"ARM",2158,915,1243,45,40
"ATA",6,3,3,0,-90
"ATG",578,373,205,-61.8,17.05
"AUS",889069,510076,378993,133,-27
"AUT",33865,21168,12697,13.3333,47.3333
"AZE",3931,2155,1776,47.5,40.5
"BDI",157,79,78,30,-3.5
"BEL",47579,28860,18719,4,50.8333
"BEN",319,228,91,2.25,9.5
"BFA",209,181,28,-2,13
"BGD",1165402,1094288,71114,90,24
"BGR",9556,5330,4226,25,43
"BHR",5914,3288,2626,50.55,26
"BHS",240,123,117,-76,24.25
"BIH",2041,1208,833,18,44
"BLR",11138,5194,5944,28,53
"BLZ",277,146,131,-88.75,17.25
"BMU",4,0,4,-64.75,32.3333
"BOL",1050,575,475,-130,-34
"BRA",35881,20305,15576,-55,-10
"BRB",231,107,124,-59.5333,13.1667
"BRN",2588744,1409405,1179339,229.3334,9
"BTN",1730,1118,612,90.5,27.5
"BVT",1,0,1,3.4,-54.4333
"BWA",518,233,285,24,-22
"CAF",13,9,4,21,7
"CAN",192117,109803,82314,-95,60
"CCK",3,2,1,96.8333,-12.5
"CHE",60473,35967,24506,8,47
"CHL",8897,4548,4349,-71,-30
"CHN",4008013,1928203,2079810,105,35
"CIV",685,482,203,-10,16
"CMR",844,579,265,12,6
"COD",430,304,126,25,0
"COG",96,70,26,15,-1
"COK",1,1,0,-159.7667,-21.2333
"COL",6282,3265,3017,-72,4
"COM",547,323,224,44.25,-12.1667
"CPV",84,44,40,-24,16
"CRI",2269,1300,969,-84,10
"CUB",856,495,361,-80,21.5
"CYP",2345,1495,850,33,35
"CZE",25563,14472,11091,15.5,49.75
"DEU",339408,204827,134581,9,51
"DJI",438,249,189,43,11.5
"DMA",1366,1054,312,-61.3333,15.4167
"DNK",47641,28599,19042,10,56
"DOM",712,367,345,-70.6667,19
"DZA",22332,14055,8277,3,28
"ECU",2318,1145,1173,-77.5,-2
"EGY",61353,41949,19404,30,27
"ERI",538,305,233,39,15
"ESP",105701,59600,46101,-4,40
"EST",8255,4262,3993,26,59
"ETH",1201,770,431,38,8
"FIN",28014,15835,12179,26,64
"FJI",5371,2762,2609,175,-18
"FRA",335976,197461,138515,2,46
"FSM",29,15,14,158.25,6.9167
"GAB",287,172,115,11.75,-1
"GBR",780219,470507,309712,-2,54
"GEO",1936,1227,709,43.5,42
"GHA",2582,1763,819,-2,8
"GIB",2,0,2,-5.3667,36.1833
"GIN",1748,1279,469,-10,11
"GLP",1,1,0,-61.5833,16.25
"GMB",844,613,231,-16.5667,13.4667
"GNB",26,23,3,-15,12
"GNQ",62,35,27,10,2
"GRC",9507,6648,2859,22,39
"GRD",525,361,164,-61.6667,12.1167
"GRL",4,2,2,-40,72
"GTM",827,462,365,-90.25,15.5
"GUY",197,117,80,-59,5
"HKG",27640,12760,14880,114.1667,22.25
"HMD",1,0,1,72.5167,-53.1
"HND",615,371,244,-86.5,15
"HRV",7211,4915,2296,15.5,45.1667
"HTI",240,167,73,-72.4167,19
"HUN",21586,11769,9817,20,47
"IDN",8477856,4091695,4386161,120,-5
"IND",2345086,1606732,738354,77,20
"IOT",10,3,7,71.5,-6
"IRL",51700,30982,20718,-8,53
"IRN",61065,32851,28214,53,32
"IRQ",34226,22954,11272,44,33
"ISL",1437,785,652,-18,65
"ISR",16,13,3,34.75,31.5
"ITA",123871,78662,45209,12.8333,42.8333
"JAM",717,298,419,-77.5,18.25
"JOR",24557,15137,9420,36,31
"JPN",739722,466081,273641,138,36
"KAZ",39276,16197,23079,68,48
"KEN",13558,6815,6743,38,1
"KGZ",8974,4488,4486,75,41
"KHM",210154,106206,103948,105,13
"KIR",116,98,18,173,1.4167
"KNA",2330,1695,635,-62.75,17.3333
"KOR",1057434,534237,523197,255,74
"KWT",22762,12254,10508,47.6581,29.3375
"LAO",55101,13740,41361,105,18
"LBN",8141,5216,2925,35.8333,33.8333
"LBR",288,235,53,-9.5,6.5
"LBY",11524,8164,3360,34,50
"LCA",478,358,120,-61.1333,13.8833
"LIE",241,156,85,9.5333,47.1667
"LKA",138706,88496,50210,81,7
"LSO",174,78,96,28.5,-29.5
"LTU",14268,7023,7245,24,56
"LUX",1870,1118,752,6.1667,49.75
"LVA",6777,3325,3452,25,57
"MAC",132,63,69,113.55,22.1667
"MAR",28552,15016,13536,-5,32
"MCO",103,59,44,7.4,43.7333
"MDA",1083,547,536,29,47
"MDG",2161,936,1225,47,-20
"MDV",80329,41887,38442,73,3.25
"MEX",22342,11478,10864,-102,23
"MHL",111,82,29,168,9
"MKD",1332,724,608,22,41.8333
"MLI",331,256,75,-4,17
"MLT",1829,1125,704,14.5833,35.8333
"MMR",360931,191030,169901,196,44
"MNE",564,459,105,19,42
"MNG",16414,6896,9518,105,46
"MNP",3,2,1,145.75,15.2
"MOZ",956,510,446,35,-18.25
"MRT",744,604,140,-12,20
"MUS",41679,21214,20465,57.55,-20.2833
"MWI",662,369,293,34,-13.5
"MYT",2,0,2,45.1667,-12.8333
"NAM",616,296,320,17,-22
"NCL",2,2,0,165.5,-21.5
"NER",90,60,30,8,16
"NGA",15552,12450,3102,8,10
"NIC",243,123,120,-85,13
"NLD",174610,103829,70781,5.75,52.5
"NOR",30007,17909,12098,10,62
"NPL",449691,423456,26235,84,28
"NRU",102,69,33,166.9167,-0.5333
"NZL",113255,66803,46452,174,-41
"OMN",39478,22830,16648,57,21
"PAK",355369,301501,53868,70,30
"PAN",947,460,487,-80,9
"PER",4860,2529,2331,-76,-10
"PHL",1147669,417373,730296,122,13
"PLW",57,42,15,134.5,7.5
"PNG",2519,1446,1073,147,-6
"POL",61737,32725,29012,20,52
"PRI",1,0,1,-66.5,18.25
"PRK",9,8,1,127,40
"PRT",27939,15935,12004,-8,39.5
"PRY",463,247,216,-58,-23
"PSE",10249,7219,3030,35.25,32
"QAT",5388,3249,2139,51.25,25.5
"REU",2,1,1,55.6,-21.1
"ROU",25980,13884,12096,25,46
"RUS",281242,142179,139063,200,120
"RWA",297,168,129,30,-2
"SAU",151906,84070,67836,45,25
"SDN",30589,17806,12783,30,15
"SEN",1799,1285,514,-14,14
"SGP",34496707,19735426,14761281,103.8,1.3667
"SGS",7,5,2,-37,-54.5
"SHN",2,2,0,-5.7,-15.9333
"SLB",459,235,224,159,-8
"SLE",739,487,252,-11.5,8.5
"SLV",519,279,240,-88.9167,13.8333
"SMR",81,56,25,12.4167,43.7667
"SOM",7257,4475,2782,49,10
"SPM",1,0,1,-56.3333,46.8333
"SRB",2946,1620,1326,21,44
"SSD",972,639,333,30,8
"STP",48,31,17,7,1
"SUR",616,366,250,-56,4
"SVK",14033,7696,6337,19.5,48.6667
"SVN",5490,3019,2471,15,46
"SWE",53494,31335,22159,15,62
"SWZ",567,266,301,31.5,-26.5
"SYC",2595,1074,1521,55.6667,-4.5833
"SYR",20529,13097,7432,38,35
"TCA",3,0,3,-71.5833,21.75
"TCD",770,607,163,19,15
"TGO",262,208,54,1.1667,8
"THA",5647418,3285770,2361648,100,15
"TJK",3545,2474,1071,71,39
"TKL",2,2,0,-172,-9
"TKM",5375,2974,2401,60,40
"TLS",6745,3957,2788,125.5167,-8.55
"TON",424,206,218,-175,-20
"TTO",1158,668,490,-61,11
"TUN",18392,9460,8932,9,34
"TUR",50414,34652,15762,35,39
"TUV",14,7,7,178,-8
"TWN",639102,301859,337243,121,23.5
"TZA",5973,3087,2886,35,-6
"UGA",4255,1949,2306,32,1
"UKR",36714,18595,18119,32,49
"URY",2769,1284,1485,-56,-33
"USA",607643,355539,252104,-97,38
"UZB",36853,22413,14440,64,41
"VAT",34,32,2,12.45,41.9
"VCT",75,47,28,-183.6,39.75
"VEN",2871,1608,1263,-132,16
"VNM",878361,288305,590056,212,32
"VUT",2970,2394,576,167,-16
"WSM",113,52,61,-172.3333,-13.5833
"XXX",14334,8591,5743,NA,NA
"YEM",43725,30377,13348,48,15
"ZAF",45266,25596,19670,24,-29
"ZAR",23,11,12,15.266293,-4.441931
"ZMB",2169,1152,1017,30,-15
"ZWE",4687,2233,2454,30,-20
