"country","soe","total_arrivals","arrivals_male","arrivals_female","country_longitude","country_latitude","soe_latitude","soe_longitude"
"ABW","Kedah",1,0,1,-69.9667,12.5,5.954218,100.714327
"ABW","Pulau Pinang",1,0,1,-69.9667,12.5,5.419481,100.381885
"AFG","Johor",25,22,3,65,33,1.922581,103.4114
"AFG","Kedah",8,8,0,65,33,5.954218,100.714327
"AFG","Perlis",7,6,1,65,33,6.528438,100.24337
"AFG","Pulau Pinang",6,5,1,65,33,5.419481,100.381885
"AFG","Sarawak",11,10,1,65,33,2.495247,110.536555
"AFG","Selangor",2693,2017,676,65,33,3.421418,101.5183
"AGO","Johor",8,5,3,18.5,-12.5,1.922581,103.4114
"AGO","Kedah",3,2,1,18.5,-12.5,5.954218,100.714327
"AGO","Sabah",1,1,0,18.5,-12.5,5.321874,115.214806
"AGO","Selangor",157,113,44,18.5,-12.5,3.421418,101.5183
"AIA","Selangor",4,3,1,-63.1667,18.25,3.421418,101.5183
"ALB","Johor",457,333,124,20,41,1.922581,103.4114
"ALB","Kedah",37,24,13,20,41,5.954218,100.714327
"ALB","Perak",3,3,0,20,41,4.713235,100.998192
"ALB","Perlis",5,3,2,20,41,6.528438,100.24337
"ALB","Pulau Pinang",77,31,46,20,41,5.419481,100.381885
"ALB","Sabah",9,5,4,20,41,5.321874,115.214806
"ALB","Sarawak",6,6,0,20,41,2.495247,110.536555
"ALB","Selangor",955,563,392,20,41,3.421418,101.5183
"AND","Johor",12,4,8,1.6,42.5,1.922581,103.4114
"AND","Kedah",4,1,3,1.6,42.5,5.954218,100.714327
"AND","Perlis",3,1,2,1.6,42.5,6.528438,100.24337
"AND","Pulau Pinang",13,9,4,1.6,42.5,5.419481,100.381885
"AND","Selangor",162,95,67,1.6,42.5,3.421418,101.5183
"ANT","Selangor",2,0,2,-68.75,12.25,3.421418,101.5183
"ARE","Johor",742,431,311,54,24,1.922581,103.4114
"ARE","Kedah",227,160,67,54,24,5.954218,100.714327
"ARE","Kelantan",4,3,1,54,24,5.060771,102.0594
"ARE","Perak",2,1,1,54,24,4.713235,100.998192
"ARE","Perlis",12,10,2,54,24,6.528438,100.24337
"ARE","Pulau Pinang",85,54,31,54,24,5.419481,100.381885
"ARE","Sabah",8,7,1,54,24,5.321874,115.214806
"ARE","Sarawak",49,49,0,54,24,2.495247,110.536555
"ARE","Selangor",14332,8369,5963,54,24,3.421418,101.5183
"ARG","Johor",2239,1292,947,-64,-34,1.922581,103.4114
"ARG","Kedah",1747,855,892,-64,-34,5.954218,100.714327
"ARG","Kelantan",29,13,16,-64,-34,5.060771,102.0594
"ARG","Melaka",4,3,1,-64,-34,2.306839,102.3566
"ARG","Perak",16,11,5,-64,-34,4.713235,100.998192
"ARG","Perlis",149,79,70,-64,-34,6.528438,100.24337
"ARG","Pulau Pinang",231,121,110,-64,-34,5.419481,100.381885
"ARG","Sabah",77,38,39,-64,-34,5.321874,115.214806
"ARG","Sarawak",73,54,19,-64,-34,2.495247,110.536555
"ARG","Selangor",11481,6146,5335,-64,-34,3.421418,101.5183
"ARG","Terengganu",1,1,0,-64,-34,5.170658,103.049157
"ARG","W.P. Labuan",4,2,2,-64,-34,5.299798,112.414806
"ARM","Johor",173,69,104,45,40,1.922581,103.4114
"ARM","Kedah",53,23,30,45,40,5.954218,100.714327
"ARM","Kelantan",2,2,0,45,40,5.060771,102.0594
"ARM","Perak",2,0,2,45,40,4.713235,100.998192
"ARM","Perlis",1,1,0,45,40,6.528438,100.24337
"ARM","Pulau Pinang",43,18,25,45,40,5.419481,100.381885
"ARM","Sabah",15,7,8,45,40,5.321874,115.214806
"ARM","Sarawak",2,2,0,45,40,2.495247,110.536555
"ARM","Selangor",1867,793,1074,45,40,3.421418,101.5183
"ATA","Selangor",6,3,3,0,-90,3.421418,101.5183
"ATG","Johor",137,93,44,-61.8,17.05,1.922581,103.4114
"ATG","Kedah",13,4,9,-61.8,17.05,5.954218,100.714327
"ATG","Pulau Pinang",8,5,3,-61.8,17.05,5.419481,100.381885
"ATG","Sabah",3,0,3,-61.8,17.05,5.321874,115.214806
"ATG","Sarawak",2,2,0,-61.8,17.05,2.495247,110.536555
"ATG","Selangor",415,269,146,-61.8,17.05,3.421418,101.5183
"AUS","Johor",142179,83308,58871,133,-27,1.922581,103.4114
"AUS","Kedah",17437,9520,7917,133,-27,5.954218,100.714327
"AUS","Kelantan",267,184,83,133,-27,5.060771,102.0594
"AUS","Melaka",74,53,21,133,-27,2.306839,102.3566
"AUS","Negeri Sembilan",26,23,3,133,-27,2.826793,102.249487
"AUS","Pahang",613,330,283,133,-27,4.076981,102.549911
"AUS","Perak",5987,3135,2852,133,-27,4.713235,100.998192
"AUS","Perlis",2214,1409,805,133,-27,6.528438,100.24337
"AUS","Pulau Pinang",52554,28002,24552,133,-27,5.419481,100.381885
"AUS","Sabah",10906,5641,5265,133,-27,5.321874,115.214806
"AUS","Sarawak",16132,9032,7100,133,-27,2.495247,110.536555
"AUS","Selangor",640378,369239,271139,133,-27,3.421418,101.5183
"AUS","Terengganu",19,12,7,133,-27,5.170658,103.049157
"AUS","W.P. Labuan",283,188,95,133,-27,5.299798,112.414806
"AUT","Johor",4986,3319,1667,13.3333,47.3333,1.922581,103.4114
"AUT","Kedah",2315,1244,1071,13.3333,47.3333,5.954218,100.714327
"AUT","Kelantan",101,88,13,13.3333,47.3333,5.060771,102.0594
"AUT","Melaka",9,7,2,13.3333,47.3333,2.306839,102.3566
"AUT","Negeri Sembilan",5,3,2,13.3333,47.3333,2.826793,102.249487
"AUT","Pahang",4,3,1,13.3333,47.3333,4.076981,102.549911
"AUT","Perak",88,60,28,13.3333,47.3333,4.713235,100.998192
"AUT","Perlis",371,225,146,13.3333,47.3333,6.528438,100.24337
"AUT","Pulau Pinang",2108,1474,634,13.3333,47.3333,5.419481,100.381885
"AUT","Sabah",366,215,151,13.3333,47.3333,5.321874,115.214806
"AUT","Sarawak",477,299,178,13.3333,47.3333,2.495247,110.536555
"AUT","Selangor",23017,14218,8799,13.3333,47.3333,3.421418,101.5183
"AUT","Terengganu",2,1,1,13.3333,47.3333,5.170658,103.049157
"AUT","W.P. Labuan",16,12,4,13.3333,47.3333,5.299798,112.414806
"AZE","Johor",204,121,83,47.5,40.5,1.922581,103.4114
"AZE","Kedah",111,61,50,47.5,40.5,5.954218,100.714327
"AZE","Kelantan",3,3,0,47.5,40.5,5.060771,102.0594
"AZE","Melaka",2,1,1,47.5,40.5,2.306839,102.3566
"AZE","Perlis",2,2,0,47.5,40.5,6.528438,100.24337
"AZE","Pulau Pinang",30,18,12,47.5,40.5,5.419481,100.381885
"AZE","Sabah",10,7,3,47.5,40.5,5.321874,115.214806
"AZE","Sarawak",37,15,22,47.5,40.5,2.495247,110.536555
"AZE","Selangor",3515,1911,1604,47.5,40.5,3.421418,101.5183
"AZE","W.P. Labuan",17,16,1,47.5,40.5,5.299798,112.414806
"BDI","Johor",1,1,0,30,-3.5,1.922581,103.4114
"BDI","Pulau Pinang",4,2,2,30,-3.5,5.419481,100.381885
"BDI","Sarawak",3,2,1,30,-3.5,2.495247,110.536555
"BDI","Selangor",149,74,75,30,-3.5,3.421418,101.5183
"BEL","Johor",7074,4449,2625,4,50.8333,1.922581,103.4114
"BEL","Kedah",2473,1319,1154,4,50.8333,5.954218,100.714327
"BEL","Kelantan",71,47,24,4,50.8333,5.060771,102.0594
"BEL","Melaka",12,7,5,4,50.8333,2.306839,102.3566
"BEL","Negeri Sembilan",4,2,2,4,50.8333,2.826793,102.249487
"BEL","Pahang",33,18,15,4,50.8333,4.076981,102.549911
"BEL","Perak",93,53,40,4,50.8333,4.713235,100.998192
"BEL","Perlis",404,252,152,4,50.8333,6.528438,100.24337
"BEL","Pulau Pinang",1819,1221,598,4,50.8333,5.419481,100.381885
"BEL","Sabah",561,325,236,4,50.8333,5.321874,115.214806
"BEL","Sarawak",660,368,292,4,50.8333,2.495247,110.536555
"BEL","Selangor",34347,20781,13566,4,50.8333,3.421418,101.5183
"BEL","Terengganu",1,1,0,4,50.8333,5.170658,103.049157
"BEL","W.P. Labuan",27,17,10,4,50.8333,5.299798,112.414806
"BEN","Johor",28,20,8,2.25,9.5,1.922581,103.4114
"BEN","Kedah",6,2,4,2.25,9.5,5.954218,100.714327
"BEN","Perak",3,2,1,2.25,9.5,4.713235,100.998192
"BEN","Pulau Pinang",3,3,0,2.25,9.5,5.419481,100.381885
"BEN","Sabah",5,5,0,2.25,9.5,5.321874,115.214806
"BEN","Sarawak",4,2,2,2.25,9.5,2.495247,110.536555
"BEN","Selangor",270,194,76,2.25,9.5,3.421418,101.5183
"BFA","Johor",4,3,1,-2,13,1.922581,103.4114
"BFA","Perak",1,0,1,-2,13,4.713235,100.998192
"BFA","Pulau Pinang",6,6,0,-2,13,5.419481,100.381885
"BFA","Selangor",198,172,26,-2,13,3.421418,101.5183
"BGD","Johor",78952,66165,12787,90,24,1.922581,103.4114
"BGD","Kedah",2118,1287,831,90,24,5.954218,100.714327
"BGD","Kelantan",44,43,1,90,24,5.060771,102.0594
"BGD","Melaka",18,18,0,90,24,2.306839,102.3566
"BGD","Negeri Sembilan",3,3,0,90,24,2.826793,102.249487
"BGD","Pahang",11,7,4,90,24,4.076981,102.549911
"BGD","Perak",79,65,14,90,24,4.713235,100.998192
"BGD","Perlis",93,80,13,90,24,6.528438,100.24337
"BGD","Pulau Pinang",8800,8294,506,90,24,5.419481,100.381885
"BGD","Sabah",113,84,29,90,24,5.321874,115.214806
"BGD","Sarawak",1853,1494,359,90,24,2.495247,110.536555
"BGD","Selangor",1073105,1016546,56559,90,24,3.421418,101.5183
"BGD","Terengganu",1,1,0,90,24,5.170658,103.049157
"BGD","W.P. Labuan",212,201,11,90,24,5.299798,112.414806
"BGR","Johor",1331,765,566,25,43,1.922581,103.4114
"BGR","Kedah",464,233,231,25,43,5.954218,100.714327
"BGR","Kelantan",8,5,3,25,43,5.060771,102.0594
"BGR","Pahang",6,6,0,25,43,4.076981,102.549911
"BGR","Perak",19,12,7,25,43,4.713235,100.998192
"BGR","Perlis",25,17,8,25,43,6.528438,100.24337
"BGR","Pulau Pinang",253,160,93,25,43,5.419481,100.381885
"BGR","Sabah",62,32,30,25,43,5.321874,115.214806
"BGR","Sarawak",51,35,16,25,43,2.495247,110.536555
"BGR","Selangor",7334,4064,3270,25,43,3.421418,101.5183
"BGR","W.P. Labuan",3,1,2,25,43,5.299798,112.414806
"BHR","Johor",427,217,210,50.55,26,1.922581,103.4114
"BHR","Kedah",66,38,28,50.55,26,5.954218,100.714327
"BHR","Kelantan",5,4,1,50.55,26,5.060771,102.0594
"BHR","Perlis",15,15,0,50.55,26,6.528438,100.24337
"BHR","Pulau Pinang",70,38,32,50.55,26,5.419481,100.381885
"BHR","Sabah",4,3,1,50.55,26,5.321874,115.214806
"BHR","Sarawak",20,19,1,50.55,26,2.495247,110.536555
"BHR","Selangor",5307,2954,2353,50.55,26,3.421418,101.5183
"BHS","Johor",31,17,14,-76,24.25,1.922581,103.4114
"BHS","Kedah",7,4,3,-76,24.25,5.954218,100.714327
"BHS","Perak",1,0,1,-76,24.25,4.713235,100.998192
"BHS","Perlis",1,1,0,-76,24.25,6.528438,100.24337
"BHS","Pulau Pinang",1,0,1,-76,24.25,5.419481,100.381885
"BHS","Sabah",2,1,1,-76,24.25,5.321874,115.214806
"BHS","Sarawak",1,0,1,-76,24.25,2.495247,110.536555
"BHS","Selangor",196,100,96,-76,24.25,3.421418,101.5183
"BIH","Johor",238,136,102,18,44,1.922581,103.4114
"BIH","Kedah",37,18,19,18,44,5.954218,100.714327
"BIH","Perlis",6,6,0,18,44,6.528438,100.24337
"BIH","Pulau Pinang",39,28,11,18,44,5.419481,100.381885
"BIH","Sabah",11,7,4,18,44,5.321874,115.214806
"BIH","Sarawak",30,30,0,18,44,2.495247,110.536555
"BIH","Selangor",1680,983,697,18,44,3.421418,101.5183
"BLR","Johor",388,167,221,28,53,1.922581,103.4114
"BLR","Kedah",460,205,255,28,53,5.954218,100.714327
"BLR","Kelantan",50,26,24,28,53,5.060771,102.0594
"BLR","Pahang",1,0,1,28,53,4.076981,102.549911
"BLR","Perak",6,2,4,28,53,4.713235,100.998192
"BLR","Perlis",31,16,15,28,53,6.528438,100.24337
"BLR","Pulau Pinang",207,96,111,28,53,5.419481,100.381885
"BLR","Sabah",68,33,35,28,53,5.321874,115.214806
"BLR","Sarawak",71,29,42,28,53,2.495247,110.536555
"BLR","Selangor",9854,4619,5235,28,53,3.421418,101.5183
"BLR","W.P. Labuan",2,1,1,28,53,5.299798,112.414806
"BLZ","Johor",72,35,37,-88.75,17.25,1.922581,103.4114
"BLZ","Pulau Pinang",5,4,1,-88.75,17.25,5.419481,100.381885
"BLZ","Sarawak",5,4,1,-88.75,17.25,2.495247,110.536555
"BLZ","Selangor",195,103,92,-88.75,17.25,3.421418,101.5183
"BMU","Selangor",4,0,4,-64.75,32.3333,3.421418,101.5183
"BOL","Johor",87,46,41,-130,-34,1.922581,103.4114
"BOL","Kedah",10,2,8,-130,-34,5.954218,100.714327
"BOL","Melaka",2,2,0,-130,-34,2.306839,102.3566
"BOL","Perak",3,1,2,-130,-34,4.713235,100.998192
"BOL","Perlis",1,1,0,-130,-34,6.528438,100.24337
"BOL","Pulau Pinang",25,12,13,-130,-34,5.419481,100.381885
"BOL","Sabah",4,3,1,-130,-34,5.321874,115.214806
"BOL","Sarawak",37,19,18,-130,-34,2.495247,110.536555
"BOL","Selangor",881,489,392,-130,-34,3.421418,101.5183
"BRA","Johor",6835,3885,2950,-55,-10,1.922581,103.4114
"BRA","Kedah",1942,933,1009,-55,-10,5.954218,100.714327
"BRA","Kelantan",15,10,5,-55,-10,5.060771,102.0594
"BRA","Melaka",15,11,4,-55,-10,2.306839,102.3566
"BRA","Pahang",13,7,6,-55,-10,4.076981,102.549911
"BRA","Perak",84,51,33,-55,-10,4.713235,100.998192
"BRA","Perlis",200,92,108,-55,-10,6.528438,100.24337
"BRA","Pulau Pinang",680,411,269,-55,-10,5.419481,100.381885
"BRA","Sabah",242,132,110,-55,-10,5.321874,115.214806
"BRA","Sarawak",223,131,92,-55,-10,2.495247,110.536555
"BRA","Selangor",25626,14638,10988,-55,-10,3.421418,101.5183
"BRA","W.P. Labuan",6,4,2,-55,-10,5.299798,112.414806
"BRB","Johor",42,13,29,-59.5333,13.1667,1.922581,103.4114
"BRB","Kedah",3,3,0,-59.5333,13.1667,5.954218,100.714327
"BRB","Perlis",1,0,1,-59.5333,13.1667,6.528438,100.24337
"BRB","Pulau Pinang",6,1,5,-59.5333,13.1667,5.419481,100.381885
"BRB","Selangor",179,90,89,-59.5333,13.1667,3.421418,101.5183
"BRN","Johor",12524,6443,6081,229.3334,9,1.922581,103.4114
"BRN","Kedah",698,365,333,229.3334,9,5.954218,100.714327
"BRN","Kelantan",231,128,103,229.3334,9,5.060771,102.0594
"BRN","Melaka",25,13,12,229.3334,9,2.306839,102.3566
"BRN","Pahang",2,1,1,229.3334,9,4.076981,102.549911
"BRN","Perak",96,52,44,229.3334,9,4.713235,100.998192
"BRN","Perlis",688,347,341,229.3334,9,6.528438,100.24337
"BRN","Pulau Pinang",433,195,238,229.3334,9,5.419481,100.381885
"BRN","Sabah",23984,10733,13251,229.3334,9,5.321874,115.214806
"BRN","Sarawak",2379444,1301664,1077780,229.3334,9,2.495247,110.536555
"BRN","Selangor",137405,68053,69352,229.3334,9,3.421418,101.5183
"BRN","W.P. Labuan",33214,21411,11803,229.3334,9,5.299798,112.414806
"BTN","Johor",201,146,55,90.5,27.5,1.922581,103.4114
"BTN","Kedah",15,14,1,90.5,27.5,5.954218,100.714327
"BTN","Perak",5,3,2,90.5,27.5,4.713235,100.998192
"BTN","Perlis",10,4,6,90.5,27.5,6.528438,100.24337
"BTN","Pulau Pinang",135,76,59,90.5,27.5,5.419481,100.381885
"BTN","Sabah",4,3,1,90.5,27.5,5.321874,115.214806
"BTN","Sarawak",6,6,0,90.5,27.5,2.495247,110.536555
"BTN","Selangor",1354,866,488,90.5,27.5,3.421418,101.5183
"BVT","Selangor",1,0,1,3.4,-54.4333,3.421418,101.5183
"BWA","Johor",43,22,21,24,-22,1.922581,103.4114
"BWA","Kedah",14,9,5,24,-22,5.954218,100.714327
"BWA","Perlis",1,1,0,24,-22,6.528438,100.24337
"BWA","Pulau Pinang",5,3,2,24,-22,5.419481,100.381885
"BWA","Sabah",1,1,0,24,-22,5.321874,115.214806
"BWA","Sarawak",6,6,0,24,-22,2.495247,110.536555
"BWA","Selangor",448,191,257,24,-22,3.421418,101.5183
"CAF","Kedah",1,0,1,21,7,5.954218,100.714327
"CAF","Selangor",12,9,3,21,7,3.421418,101.5183
"CAN","Johor",38743,22053,16690,-95,60,1.922581,103.4114
"CAN","Kedah",5827,3176,2651,-95,60,5.954218,100.714327
"CAN","Kelantan",153,100,53,-95,60,5.060771,102.0594
"CAN","Melaka",19,13,6,-95,60,2.306839,102.3566
"CAN","Negeri Sembilan",14,9,5,-95,60,2.826793,102.249487
"CAN","Pahang",75,47,28,-95,60,4.076981,102.549911
"CAN","Perak",899,497,402,-95,60,4.713235,100.998192
"CAN","Perlis",1263,775,488,-95,60,6.528438,100.24337
"CAN","Pulau Pinang",13036,7170,5866,-95,60,5.419481,100.381885
"CAN","Sabah",3892,2000,1892,-95,60,5.321874,115.214806
"CAN","Sarawak",8595,4727,3868,-95,60,2.495247,110.536555
"CAN","Selangor",119437,69124,50313,-95,60,3.421418,101.5183
"CAN","Terengganu",6,6,0,-95,60,5.170658,103.049157
"CAN","W.P. Labuan",158,106,52,-95,60,5.299798,112.414806
"CCK","Selangor",3,2,1,96.8333,-12.5,3.421418,101.5183
"CHE","Johor",11246,6714,4532,8,47,1.922581,103.4114
"CHE","Kedah",4394,2338,2056,8,47,5.954218,100.714327
"CHE","Kelantan",89,56,33,8,47,5.060771,102.0594
"CHE","Melaka",16,8,8,8,47,2.306839,102.3566
"CHE","Negeri Sembilan",17,9,8,8,47,2.826793,102.249487
"CHE","Pahang",64,38,26,8,47,4.076981,102.549911
"CHE","Perak",196,130,66,8,47,4.713235,100.998192
"CHE","Perlis",812,483,329,8,47,6.528438,100.24337
"CHE","Pulau Pinang",3646,2304,1342,8,47,5.419481,100.381885
"CHE","Sabah",971,521,450,8,47,5.321874,115.214806
"CHE","Sarawak",1021,512,509,8,47,2.495247,110.536555
"CHE","Selangor",37965,22827,15138,8,47,3.421418,101.5183
"CHE","W.P. Labuan",36,27,9,8,47,5.299798,112.414806
"CHL","Johor",950,495,455,-71,-30,1.922581,103.4114
"CHL","Kedah",514,240,274,-71,-30,5.954218,100.714327
"CHL","Kelantan",20,11,9,-71,-30,5.060771,102.0594
"CHL","Melaka",2,1,1,-71,-30,2.306839,102.3566
"CHL","Pahang",5,2,3,-71,-30,4.076981,102.549911
"CHL","Perak",4,2,2,-71,-30,4.713235,100.998192
"CHL","Perlis",124,80,44,-71,-30,6.528438,100.24337
"CHL","Pulau Pinang",191,106,85,-71,-30,5.419481,100.381885
"CHL","Sabah",75,35,40,-71,-30,5.321874,115.214806
"CHL","Sarawak",31,23,8,-71,-30,2.495247,110.536555
"CHL","Selangor",6981,3553,3428,-71,-30,3.421418,101.5183
"CHN","Johor",1220365,525662,694703,105,35,1.922581,103.4114
"CHN","Kedah",38376,16675,21701,105,35,5.954218,100.714327
"CHN","Kelantan",382,216,166,105,35,5.060771,102.0594
"CHN","Melaka",96,72,24,105,35,2.306839,102.3566
"CHN","Negeri Sembilan",15,14,1,105,35,2.826793,102.249487
"CHN","Pahang",804,449,355,105,35,4.076981,102.549911
"CHN","Perak",6712,2923,3789,105,35,4.713235,100.998192
"CHN","Perlis",4814,2479,2335,105,35,6.528438,100.24337
"CHN","Pulau Pinang",188511,96294,92217,105,35,5.419481,100.381885
"CHN","Sabah",205971,91824,114147,105,35,5.321874,115.214806
"CHN","Sarawak",27306,14158,13148,105,35,2.495247,110.536555
"CHN","Selangor",2313583,1176557,1137026,105,35,3.421418,101.5183
"CHN","Terengganu",1,1,0,105,35,5.170658,103.049157
"CHN","W.P. Labuan",1077,879,198,105,35,5.299798,112.414806
"CIV","Johor",29,20,9,-10,16,1.922581,103.4114
"CIV","Kedah",3,1,2,-10,16,5.954218,100.714327
"CIV","Pulau Pinang",5,2,3,-10,16,5.419481,100.381885
"CIV","Sabah",3,0,3,-10,16,5.321874,115.214806
"CIV","Sarawak",3,1,2,-10,16,2.495247,110.536555
"CIV","Selangor",642,458,184,-10,16,3.421418,101.5183
"CMR","Johor",45,42,3,12,6,1.922581,103.4114
"CMR","Kedah",12,6,6,12,6,5.954218,100.714327
"CMR","Pulau Pinang",19,12,7,12,6,5.419481,100.381885
"CMR","Sabah",6,6,0,12,6,5.321874,115.214806
"CMR","Sarawak",6,5,1,12,6,2.495247,110.536555
"CMR","Selangor",756,508,248,12,6,3.421418,101.5183
"COD","Johor",38,36,2,25,0,1.922581,103.4114
"COD","Pulau Pinang",1,1,0,25,0,5.419481,100.381885
"COD","Sabah",2,2,0,25,0,5.321874,115.214806
"COD","Sarawak",3,2,1,25,0,2.495247,110.536555
"COD","Selangor",386,263,123,25,0,3.421418,101.5183
"COG","Johor",1,1,0,15,-1,1.922581,103.4114
"COG","Kedah",1,0,1,15,-1,5.954218,100.714327
"COG","Selangor",94,69,25,15,-1,3.421418,101.5183
"COK","Selangor",1,1,0,-159.7667,-21.2333,3.421418,101.5183
"COL","Johor",772,375,397,-72,4,1.922581,103.4114
"COL","Kedah",94,38,56,-72,4,5.954218,100.714327
"COL","Perak",12,8,4,-72,4,4.713235,100.998192
"COL","Perlis",1,1,0,-72,4,6.528438,100.24337
"COL","Pulau Pinang",121,56,65,-72,4,5.419481,100.381885
"COL","Sabah",41,20,21,-72,4,5.321874,115.214806
"COL","Sarawak",43,28,15,-72,4,2.495247,110.536555
"COL","Selangor",5196,2737,2459,-72,4,3.421418,101.5183
"COL","W.P. Labuan",2,2,0,-72,4,5.299798,112.414806
"COM","Johor",26,9,17,44.25,-12.1667,1.922581,103.4114
"COM","Kedah",6,2,4,44.25,-12.1667,5.954218,100.714327
"COM","Pulau Pinang",1,1,0,44.25,-12.1667,5.419481,100.381885
"COM","Selangor",514,311,203,44.25,-12.1667,3.421418,101.5183
"CPV","Johor",10,4,6,-24,16,1.922581,103.4114
"CPV","Kedah",2,2,0,-24,16,5.954218,100.714327
"CPV","Pulau Pinang",1,0,1,-24,16,5.419481,100.381885
"CPV","Sabah",1,1,0,-24,16,5.321874,115.214806
"CPV","Selangor",70,37,33,-24,16,3.421418,101.5183
"CRI","Johor",343,214,129,-84,10,1.922581,103.4114
"CRI","Kedah",27,12,15,-84,10,5.954218,100.714327
"CRI","Perak",3,1,2,-84,10,4.713235,100.998192
"CRI","Perlis",4,4,0,-84,10,6.528438,100.24337
"CRI","Pulau Pinang",193,123,70,-84,10,5.419481,100.381885
"CRI","Sabah",22,14,8,-84,10,5.321874,115.214806
"CRI","Sarawak",12,10,2,-84,10,2.495247,110.536555
"CRI","Selangor",1665,922,743,-84,10,3.421418,101.5183
"CUB","Johor",165,122,43,-80,21.5,1.922581,103.4114
"CUB","Kedah",8,4,4,-80,21.5,5.954218,100.714327
"CUB","Perlis",1,1,0,-80,21.5,6.528438,100.24337
"CUB","Pulau Pinang",17,11,6,-80,21.5,5.419481,100.381885
"CUB","Sabah",7,3,4,-80,21.5,5.321874,115.214806
"CUB","Sarawak",2,1,1,-80,21.5,2.495247,110.536555
"CUB","Selangor",656,353,303,-80,21.5,3.421418,101.5183
"CYP","Johor",278,176,102,33,35,1.922581,103.4114
"CYP","Kedah",59,33,26,33,35,5.954218,100.714327
