"country","soe","total_arrivals","arrivals_male","arrivals_female","country_longitude","country_latitude","soe_latitude","soe_longitude"
"SOM","Kedah",6,6,0,49,10,5.954218,100.714327
"SOM","Kelantan",4,1,3,49,10,5.060771,102.0594
"SOM","Perlis",2,0,2,49,10,6.528438,100.24337
"SOM","Pulau Pinang",5,1,4,49,10,5.419481,100.381885
"SOM","Sabah",2,0,2,49,10,5.321874,115.214806
"SOM","Sarawak",1,1,0,49,10,2.495247,110.536555
"SOM","Selangor",7221,4452,2769,49,10,3.421418,101.5183
"SPM","Johor",1,0,1,-56.3333,46.8333,1.922581,103.4114
"SRB","Johor",258,173,85,21,44,1.922581,103.4114
"SRB","Kedah",96,56,40,21,44,5.954218,100.714327
"SRB","Kelantan",2,2,0,21,44,5.060771,102.0594
"SRB","Pahang",2,2,0,21,44,4.076981,102.549911
"SRB","Perak",4,2,2,21,44,4.713235,100.998192
"SRB","Perlis",6,2,4,21,44,6.528438,100.24337
"SRB","Pulau Pinang",99,67,32,21,44,5.419481,100.381885
"SRB","Sabah",21,12,9,21,44,5.321874,115.214806
"SRB","Sarawak",15,6,9,21,44,2.495247,110.536555
"SRB","Selangor",2443,1298,1145,21,44,3.421418,101.5183
"SSD","Johor",17,11,6,30,8,1.922581,103.4114
"SSD","Kedah",2,2,0,30,8,5.954218,100.714327
"SSD","Pulau Pinang",2,0,2,30,8,5.419481,100.381885
"SSD","Sabah",1,1,0,30,8,5.321874,115.214806
"SSD","Sarawak",26,18,8,30,8,2.495247,110.536555
"SSD","Selangor",920,605,315,30,8,3.421418,101.5183
"SSD","W.P. Labuan",4,2,2,30,8,5.299798,112.414806
"STP","Selangor",48,31,17,7,1,3.421418,101.5183
"SUR","Johor",110,51,59,-56,4,1.922581,103.4114
"SUR","Kedah",6,2,4,-56,4,5.954218,100.714327
"SUR","Kelantan",1,1,0,-56,4,5.060771,102.0594
"SUR","Perak",2,1,1,-56,4,4.713235,100.998192
"SUR","Perlis",6,6,0,-56,4,6.528438,100.24337
"SUR","Pulau Pinang",19,15,4,-56,4,5.419481,100.381885
"SUR","Sabah",4,2,2,-56,4,5.321874,115.214806
"SUR","Sarawak",1,1,0,-56,4,2.495247,110.536555
"SUR","Selangor",467,287,180,-56,4,3.421418,101.5183
"SVK","Johor",1090,627,463,19.5,48.6667,1.922581,103.4114
"SVK","Kedah",2360,1202,1158,19.5,48.6667,5.954218,100.714327
"SVK","Kelantan",24,18,6,19.5,48.6667,5.060771,102.0594
"SVK","Negeri Sembilan",1,1,0,19.5,48.6667,2.826793,102.249487
"SVK","Pahang",2,0,2,19.5,48.6667,4.076981,102.549911
"SVK","Perak",11,7,4,19.5,48.6667,4.713235,100.998192
"SVK","Perlis",64,41,23,19.5,48.6667,6.528438,100.24337
"SVK","Pulau Pinang",463,290,173,19.5,48.6667,5.419481,100.381885
"SVK","Sabah",178,92,86,19.5,48.6667,5.321874,115.214806
"SVK","Sarawak",97,58,39,19.5,48.6667,2.495247,110.536555
"SVK","Selangor",9691,5325,4366,19.5,48.6667,3.421418,101.5183
"SVK","W.P. Labuan",52,35,17,19.5,48.6667,5.299798,112.414806
"SVN","Johor",517,272,245,15,46,1.922581,103.4114
"SVN","Kedah",549,283,266,15,46,5.954218,100.714327
"SVN","Kelantan",1,1,0,15,46,5.060771,102.0594
"SVN","Perak",5,3,2,15,46,4.713235,100.998192
"SVN","Perlis",33,21,12,15,46,6.528438,100.24337
"SVN","Pulau Pinang",105,53,52,15,46,5.419481,100.381885
"SVN","Sabah",67,34,33,15,46,5.321874,115.214806
"SVN","Sarawak",50,25,25,15,46,2.495247,110.536555
"SVN","Selangor",4153,2324,1829,15,46,3.421418,101.5183
"SVN","W.P. Labuan",10,3,7,15,46,5.299798,112.414806
"SWE","Johor",7566,4486,3080,15,62,1.922581,103.4114
"SWE","Kedah",6770,3181,3589,15,62,5.954218,100.714327
"SWE","Kelantan",208,136,72,15,62,5.060771,102.0594
"SWE","Melaka",5,3,2,15,62,2.306839,102.3566
"SWE","Negeri Sembilan",2,2,0,15,62,2.826793,102.249487
"SWE","Pahang",14,9,5,15,62,4.076981,102.549911
"SWE","Perak",150,108,42,15,62,4.713235,100.998192
"SWE","Perlis",462,336,126,15,62,6.528438,100.24337
"SWE","Pulau Pinang",2287,1500,787,15,62,5.419481,100.381885
"SWE","Sabah",680,379,301,15,62,5.321874,115.214806
"SWE","Sarawak",619,414,205,15,62,2.495247,110.536555
"SWE","Selangor",34696,20757,13939,15,62,3.421418,101.5183
"SWE","W.P. Labuan",35,24,11,15,62,5.299798,112.414806
"SWZ","Johor",35,21,14,31.5,-26.5,1.922581,103.4114
"SWZ","Kedah",1,0,1,31.5,-26.5,5.954218,100.714327
"SWZ","Pulau Pinang",2,2,0,31.5,-26.5,5.419481,100.381885
"SWZ","Sabah",1,0,1,31.5,-26.5,5.321874,115.214806
"SWZ","Selangor",528,243,285,31.5,-26.5,3.421418,101.5183
"SYC","Johor",180,77,103,55.6667,-4.5833,1.922581,103.4114
"SYC","Kedah",5,4,1,55.6667,-4.5833,5.954218,100.714327
"SYC","Pahang",1,1,0,55.6667,-4.5833,4.076981,102.549911
"SYC","Pulau Pinang",15,9,6,55.6667,-4.5833,5.419481,100.381885
"SYC","Sabah",2,2,0,55.6667,-4.5833,5.321874,115.214806
"SYC","Sarawak",20,16,4,55.6667,-4.5833,2.495247,110.536555
"SYC","Selangor",2372,965,1407,55.6667,-4.5833,3.421418,101.5183
"SYR","Johor",426,277,149,38,35,1.922581,103.4114
"SYR","Kedah",116,70,46,38,35,5.954218,100.714327
"SYR","Kelantan",4,2,2,38,35,5.060771,102.0594
"SYR","Melaka",1,1,0,38,35,2.306839,102.3566
"SYR","Pahang",30,30,0,38,35,4.076981,102.549911
"SYR","Perlis",9,8,1,38,35,6.528438,100.24337
"SYR","Pulau Pinang",92,74,18,38,35,5.419481,100.381885
"SYR","Sabah",22,16,6,38,35,5.321874,115.214806
"SYR","Sarawak",105,80,25,38,35,2.495247,110.536555
"SYR","Selangor",19720,12535,7185,38,35,3.421418,101.5183
"SYR","W.P. Labuan",4,4,0,38,35,5.299798,112.414806
"TCA","Perlis",1,0,1,-71.5833,21.75,6.528438,100.24337
"TCA","Selangor",2,0,2,-71.5833,21.75,3.421418,101.5183
"TCD","Johor",86,75,11,19,15,1.922581,103.4114
"TCD","Kedah",3,3,0,19,15,5.954218,100.714327
"TCD","Perlis",3,3,0,19,15,6.528438,100.24337
"TCD","Pulau Pinang",1,1,0,19,15,5.419481,100.381885
"TCD","Selangor",677,525,152,19,15,3.421418,101.5183
"TGO","Johor",42,32,10,1.1667,8,1.922581,103.4114
"TGO","Kedah",1,1,0,1.1667,8,5.954218,100.714327
"TGO","Perak",3,3,0,1.1667,8,4.713235,100.998192
"TGO","Pulau Pinang",3,2,1,1.1667,8,5.419481,100.381885
"TGO","Sabah",1,1,0,1.1667,8,5.321874,115.214806
"TGO","Sarawak",1,0,1,1.1667,8,2.495247,110.536555
"TGO","Selangor",211,169,42,1.1667,8,3.421418,101.5183
"THA","Johor",177040,49457,127583,100,15,1.922581,103.4114
"THA","Kedah",2032950,1332813,700137,100,15,5.954218,100.714327
"THA","Kelantan",1130121,582225,547896,100,15,5.060771,102.0594
"THA","Melaka",196,102,94,100,15,2.306839,102.3566
"THA","Negeri Sembilan",26,15,11,100,15,2.826793,102.249487
"THA","Pahang",362,263,99,100,15,4.076981,102.549911
"THA","Perak",273252,126422,146830,100,15,4.713235,100.998192
"THA","Perlis",1614055,1027158,586897,100,15,6.528438,100.24337
"THA","Pulau Pinang",59494,24295,35199,100,15,5.419481,100.381885
"THA","Sabah",2212,717,1495,100,15,5.321874,115.214806
"THA","Sarawak",9949,3777,6172,100,15,2.495247,110.536555
"THA","Selangor",347523,138418,209105,100,15,3.421418,101.5183
"THA","Terengganu",28,24,4,100,15,5.170658,103.049157
"THA","W.P. Labuan",210,84,126,100,15,5.299798,112.414806
"TJK","Johor",71,52,19,71,39,1.922581,103.4114
"TJK","Kedah",26,18,8,71,39,5.954218,100.714327
"TJK","Kelantan",1,1,0,71,39,5.060771,102.0594
"TJK","Perlis",5,4,1,71,39,6.528438,100.24337
"TJK","Pulau Pinang",16,8,8,71,39,5.419481,100.381885
"TJK","Sabah",27,21,6,71,39,5.321874,115.214806
"TJK","Selangor",3399,2370,1029,71,39,3.421418,101.5183
"TKL","Selangor",2,2,0,-172,-9,3.421418,101.5183
"TKM","Johor",68,32,36,60,40,1.922581,103.4114
"TKM","Kedah",30,13,17,60,40,5.954218,100.714327
"TKM","Kelantan",2,1,1,60,40,5.060771,102.0594
"TKM","Perlis",2,2,0,60,40,6.528438,100.24337
"TKM","Pulau Pinang",12,11,1,60,40,5.419481,100.381885
"TKM","Sabah",13,7,6,60,40,5.321874,115.214806
"TKM","Sarawak",19,19,0,60,40,2.495247,110.536555
"TKM","Selangor",5229,2889,2340,60,40,3.421418,101.5183
"TLS","Johor",264,177,87,125.5167,-8.55,1.922581,103.4114
"TLS","Kedah",24,8,16,125.5167,-8.55,5.954218,100.714327
"TLS","Perak",9,2,7,125.5167,-8.55,4.713235,100.998192
"TLS","Perlis",1,1,0,125.5167,-8.55,6.528438,100.24337
"TLS","Pulau Pinang",151,75,76,125.5167,-8.55,5.419481,100.381885
"TLS","Sabah",17,10,7,125.5167,-8.55,5.321874,115.214806
"TLS","Sarawak",62,36,26,125.5167,-8.55,2.495247,110.536555
"TLS","Selangor",6217,3648,2569,125.5167,-8.55,3.421418,101.5183
"TON","Johor",27,16,11,-175,-20,1.922581,103.4114
"TON","Kedah",2,1,1,-175,-20,5.954218,100.714327
"TON","Pulau Pinang",46,15,31,-175,-20,5.419481,100.381885
"TON","Sabah",1,0,1,-175,-20,5.321874,115.214806
"TON","Sarawak",2,1,1,-175,-20,2.495247,110.536555
"TON","Selangor",346,173,173,-175,-20,3.421418,101.5183
"TTO","Johor",162,97,65,-61,11,1.922581,103.4114
"TTO","Kedah",15,5,10,-61,11,5.954218,100.714327
"TTO","Pahang",2,1,1,-61,11,4.076981,102.549911
"TTO","Perak",1,1,0,-61,11,4.713235,100.998192
"TTO","Pulau Pinang",28,14,14,-61,11,5.419481,100.381885
"TTO","Sabah",9,3,6,-61,11,5.321874,115.214806
"TTO","Sarawak",41,20,21,-61,11,2.495247,110.536555
"TTO","Selangor",899,526,373,-61,11,3.421418,101.5183
"TTO","W.P. Labuan",1,1,0,-61,11,5.299798,112.414806
"TUN","Johor",371,211,160,9,34,1.922581,103.4114
"TUN","Kedah",127,79,48,9,34,5.954218,100.714327
"TUN","Kelantan",13,11,2,9,34,5.060771,102.0594
"TUN","Melaka",6,2,4,9,34,2.306839,102.3566
"TUN","Perak",2,1,1,9,34,4.713235,100.998192
"TUN","Perlis",12,7,5,9,34,6.528438,100.24337
"TUN","Pulau Pinang",137,88,49,9,34,5.419481,100.381885
"TUN","Sabah",30,16,14,9,34,5.321874,115.214806
"TUN","Sarawak",25,16,9,9,34,2.495247,110.536555
"TUN","Selangor",17667,9029,8638,9,34,3.421418,101.5183
"TUN","W.P. Labuan",2,0,2,9,34,5.299798,112.414806
"TUR","Johor",7758,5451,2307,35,39,1.922581,103.4114
"TUR","Kedah",1282,837,445,35,39,5.954218,100.714327
"TUR","Kelantan",92,79,13,35,39,5.060771,102.0594
"TUR","Melaka",12,12,0,35,39,2.306839,102.3566
"TUR","Negeri Sembilan",7,5,2,35,39,2.826793,102.249487
"TUR","Pahang",16,10,6,35,39,4.076981,102.549911
"TUR","Perak",46,36,10,35,39,4.713235,100.998192
"TUR","Perlis",459,373,86,35,39,6.528438,100.24337
"TUR","Pulau Pinang",879,619,260,35,39,5.419481,100.381885
"TUR","Sabah",172,117,55,35,39,5.321874,115.214806
"TUR","Sarawak",575,420,155,35,39,2.495247,110.536555
"TUR","Selangor",39109,26687,12422,35,39,3.421418,101.5183
"TUR","Terengganu",1,1,0,35,39,5.170658,103.049157
"TUR","W.P. Labuan",6,5,1,35,39,5.299798,112.414806
"TUV","Johor",1,1,0,178,-8,1.922581,103.4114
"TUV","Pulau Pinang",2,0,2,178,-8,5.419481,100.381885
"TUV","Selangor",11,6,5,178,-8,3.421418,101.5183
"TWN","Johor",156834,67479,89355,121,23.5,1.922581,103.4114
"TWN","Kedah",4104,2015,2089,121,23.5,5.954218,100.714327
"TWN","Kelantan",57,38,19,121,23.5,5.060771,102.0594
"TWN","Melaka",104,51,53,121,23.5,2.306839,102.3566
"TWN","Negeri Sembilan",9,4,5,121,23.5,2.826793,102.249487
"TWN","Pahang",423,212,211,121,23.5,4.076981,102.549911
"TWN","Perak",1415,705,710,121,23.5,4.713235,100.998192
"TWN","Perlis",572,291,281,121,23.5,6.528438,100.24337
"TWN","Pulau Pinang",85004,42203,42801,121,23.5,5.419481,100.381885
"TWN","Sabah",33155,15671,17484,121,23.5,5.321874,115.214806
"TWN","Sarawak",8083,3523,4560,121,23.5,2.495247,110.536555
"TWN","Selangor",349185,169581,179604,121,23.5,3.421418,101.5183
"TWN","W.P. Labuan",157,86,71,121,23.5,5.299798,112.414806
"TZA","Johor",603,335,268,35,-6,1.922581,103.4114
"TZA","Kedah",20,8,12,35,-6,5.954218,100.714327
"TZA","Perak",4,4,0,35,-6,4.713235,100.998192
"TZA","Perlis",2,2,0,35,-6,6.528438,100.24337
"TZA","Pulau Pinang",15,9,6,35,-6,5.419481,100.381885
"TZA","Sabah",12,6,6,35,-6,5.321874,115.214806
"TZA","Sarawak",57,54,3,35,-6,2.495247,110.536555
"TZA","Selangor",5259,2668,2591,35,-6,3.421418,101.5183
"TZA","W.P. Labuan",1,1,0,35,-6,5.299798,112.414806
"UGA","Johor",805,357,448,32,1,1.922581,103.4114
"UGA","Kedah",32,9,23,32,1,5.954218,100.714327
"UGA","Pahang",2,1,1,32,1,4.076981,102.549911
"UGA","Perak",2,1,1,32,1,4.713235,100.998192
"UGA","Perlis",14,7,7,32,1,6.528438,100.24337
"UGA","Pulau Pinang",39,18,21,32,1,5.419481,100.381885
"UGA","Sabah",11,6,5,32,1,5.321874,115.214806
"UGA","Sarawak",17,11,6,32,1,2.495247,110.536555
"UGA","Selangor",3333,1539,1794,32,1,3.421418,101.5183
"UKR","Johor",3173,1816,1357,32,49,1.922581,103.4114
"UKR","Kedah",1876,845,1031,32,49,5.954218,100.714327
"UKR","Kelantan",183,96,87,32,49,5.060771,102.0594
"UKR","Melaka",40,40,0,32,49,2.306839,102.3566
"UKR","Negeri Sembilan",1,1,0,32,49,2.826793,102.249487
"UKR","Pahang",55,48,7,32,49,4.076981,102.549911
"UKR","Perak",26,15,11,32,49,4.713235,100.998192
"UKR","Perlis",327,159,168,32,49,6.528438,100.24337
"UKR","Pulau Pinang",771,363,408,32,49,5.419481,100.381885
"UKR","Sabah",225,111,114,32,49,5.321874,115.214806
"UKR","Sarawak",143,90,53,32,49,2.495247,110.536555
"UKR","Selangor",29861,14996,14865,32,49,3.421418,101.5183
"UKR","W.P. Labuan",33,15,18,32,49,5.299798,112.414806
"URY","Johor",679,284,395,-56,-33,1.922581,103.4114
"URY","Kedah",50,28,22,-56,-33,5.954218,100.714327
"URY","Kelantan",30,11,19,-56,-33,5.060771,102.0594
"URY","Perak",2,1,1,-56,-33,4.713235,100.998192
"URY","Perlis",6,2,4,-56,-33,6.528438,100.24337
"URY","Pulau Pinang",20,8,12,-56,-33,5.419481,100.381885
"URY","Sabah",11,8,3,-56,-33,5.321874,115.214806
"URY","Sarawak",11,4,7,-56,-33,2.495247,110.536555
"URY","Selangor",1956,936,1020,-56,-33,3.421418,101.5183
"URY","W.P. Labuan",4,2,2,-56,-33,5.299798,112.414806
"USA","Johor",119236,69655,49581,-97,38,1.922581,103.4114
"USA","Kedah",15147,8180,6967,-97,38,5.954218,100.714327
"USA","Kelantan",416,278,138,-97,38,5.060771,102.0594
"USA","Melaka",93,60,33,-97,38,2.306839,102.3566
"USA","Negeri Sembilan",12,10,2,-97,38,2.826793,102.249487
"USA","Pahang",256,169,87,-97,38,4.076981,102.549911
"USA","Perak",3499,1909,1590,-97,38,4.713235,100.998192
"USA","Perlis",2843,1840,1003,-97,38,6.528438,100.24337
"USA","Pulau Pinang",55259,33052,22207,-97,38,5.419481,100.381885
"USA","Sabah",9827,5412,4415,-97,38,5.321874,115.214806
"USA","Sarawak",8010,4548,3462,-97,38,2.495247,110.536555
"USA","Selangor",392835,230278,162557,-97,38,3.421418,101.5183
"USA","Terengganu",11,8,3,-97,38,5.170658,103.049157
"USA","W.P. Labuan",199,140,59,-97,38,5.299798,112.414806
"UZB","Johor",2226,1654,572,64,41,1.922581,103.4114
"UZB","Kedah",631,285,346,64,41,5.954218,100.714327
"UZB","Kelantan",25,18,7,64,41,5.060771,102.0594
"UZB","Perak",6,4,2,64,41,4.713235,100.998192
"UZB","Perlis",51,30,21,64,41,6.528438,100.24337
"UZB","Pulau Pinang",280,117,163,64,41,5.419481,100.381885
"UZB","Sabah",291,256,35,64,41,5.321874,115.214806
"UZB","Sarawak",26,12,14,64,41,2.495247,110.536555
"UZB","Selangor",33317,20037,13280,64,41,3.421418,101.5183
"VAT","Johor",9,8,1,12.45,41.9,1.922581,103.4114
"VAT","Pulau Pinang",2,2,0,12.45,41.9,5.419481,100.381885
"VAT","Sarawak",2,2,0,12.45,41.9,2.495247,110.536555
"VAT","Selangor",21,20,1,12.45,41.9,3.421418,101.5183
"VCT","Johor",9,5,4,-183.6,39.75,1.922581,103.4114
"VCT","Kedah",2,1,1,-183.6,39.75,5.954218,100.714327
"VCT","Pulau Pinang",2,1,1,-183.6,39.75,5.419481,100.381885
"VCT","Sabah",1,1,0,-183.6,39.75,5.321874,115.214806
"VCT","Sarawak",4,4,0,-183.6,39.75,2.495247,110.536555
"VCT","Selangor",57,35,22,-183.6,39.75,3.421418,101.5183
"VEN","Johor",387,213,174,-132,16,1.922581,103.4114
"VEN","Kedah",51,26,25,-132,16,5.954218,100.714327
"VEN","Kelantan",3,2,1,-132,16,5.060771,102.0594
"VEN","Melaka",1,0,1,-132,16,2.306839,102.3566
"VEN","Perak",1,0,1,-132,16,4.713235,100.998192
"VEN","Perlis",3,0,3,-132,16,6.528438,100.24337
"VEN","Pulau Pinang",45,29,16,-132,16,5.419481,100.381885
"VEN","Sabah",38,20,18,-132,16,5.321874,115.214806
"VEN","Sarawak",101,64,37,-132,16,2.495247,110.536555
"VEN","Selangor",2239,1252,987,-132,16,3.421418,101.5183
"VEN","W.P. Labuan",2,2,0,-132,16,5.299798,112.414806
"VNM","Johor",389740,124433,265307,212,32,1.922581,103.4114
"VNM","Kedah",9019,1282,7737,212,32,5.954218,100.714327
"VNM","Kelantan",391,183,208,212,32,5.060771,102.0594
"VNM","Melaka",15,3,12,212,32,2.306839,102.3566
"VNM","Negeri Sembilan",3,2,1,212,32,2.826793,102.249487
"VNM","Pahang",46,31,15,212,32,4.076981,102.549911
"VNM","Perak",3471,296,3175,212,32,4.713235,100.998192
"VNM","Perlis",5380,567,4813,212,32,6.528438,100.24337
"VNM","Pulau Pinang",37539,10890,26649,212,32,5.419481,100.381885
"VNM","Sabah",698,221,477,212,32,5.321874,115.214806
"VNM","Sarawak",6773,1364,5409,212,32,2.495247,110.536555
"VNM","Selangor",425137,148915,276222,212,32,3.421418,101.5183
"VNM","Terengganu",66,66,0,212,32,5.170658,103.049157
"VNM","W.P. Labuan",83,52,31,212,32,5.299798,112.414806
"VUT","Johor",940,689,251,167,-16,1.922581,103.4114
"VUT","Kedah",13,12,1,167,-16,5.954218,100.714327
"VUT","Perlis",2,2,0,167,-16,6.528438,100.24337
"VUT","Pulau Pinang",113,87,26,167,-16,5.419481,100.381885
"VUT","Sabah",30,27,3,167,-16,5.321874,115.214806
"VUT","Sarawak",3,2,1,167,-16,2.495247,110.536555
"VUT","Selangor",1869,1575,294,167,-16,3.421418,101.5183
"WSM","Johor",16,11,5,-172.3333,-13.5833,1.922581,103.4114
"WSM","Pulau Pinang",1,0,1,-172.3333,-13.5833,5.419481,100.381885
"WSM","Sarawak",2,0,2,-172.3333,-13.5833,2.495247,110.536555
"WSM","Selangor",94,41,53,-172.3333,-13.5833,3.421418,101.5183
"XXX","Johor",2677,1572,1105,NA,NA,1.922581,103.4114
"XXX","Kedah",187,91,96,NA,NA,5.954218,100.714327
"XXX","Kelantan",6,1,5,NA,NA,5.060771,102.0594
"XXX","Melaka",1,0,1,NA,NA,2.306839,102.3566
"XXX","Pahang",2,0,2,NA,NA,4.076981,102.549911
"XXX","Perak",62,37,25,NA,NA,4.713235,100.998192
"XXX","Perlis",44,34,10,NA,NA,6.528438,100.24337
"XXX","Pulau Pinang",1042,581,461,NA,NA,5.419481,100.381885
"XXX","Sabah",318,180,138,NA,NA,5.321874,115.214806
"XXX","Sarawak",667,481,186,NA,NA,2.495247,110.536555
"XXX","Selangor",9313,5602,3711,NA,NA,3.421418,101.5183
"XXX","W.P. Labuan",15,12,3,NA,NA,5.299798,112.414806
"YEM","Johor",997,703,294,48,15,1.922581,103.4114
"YEM","Kedah",119,94,25,48,15,5.954218,100.714327
"YEM","Kelantan",24,19,5,48,15,5.060771,102.0594
"YEM","Melaka",58,36,22,48,15,2.306839,102.3566
"YEM","Pahang",3,3,0,48,15,4.076981,102.549911
"YEM","Perak",9,7,2,48,15,4.713235,100.998192
"YEM","Perlis",44,43,1,48,15,6.528438,100.24337
"YEM","Pulau Pinang",125,99,26,48,15,5.419481,100.381885
"YEM","Sabah",18,17,1,48,15,5.321874,115.214806
"YEM","Sarawak",83,55,28,48,15,2.495247,110.536555
"YEM","Selangor",42244,29300,12944,48,15,3.421418,101.5183
"YEM","W.P. Labuan",1,1,0,48,15,5.299798,112.414806
"ZAF","Johor",7819,4723,3096,24,-29,1.922581,103.4114
"ZAF","Kedah",1326,728,598,24,-29,5.954218,100.714327
"ZAF","Kelantan",72,41,31,24,-29,5.060771,102.0594
"ZAF","Melaka",9,5,4,24,-29,2.306839,102.3566
"ZAF","Pahang",29,18,11,24,-29,4.076981,102.549911
"ZAF","Perak",57,40,17,24,-29,4.713235,100.998192
"ZAF","Perlis",338,201,137,24,-29,6.528438,100.24337
"ZAF","Pulau Pinang",1549,839,710,24,-29,5.419481,100.381885
"ZAF","Sabah",524,275,249,24,-29,5.321874,115.214806
"ZAF","Sarawak",2494,1220,1274,24,-29,2.495247,110.536555
"ZAF","Selangor",30867,17424,13443,24,-29,3.421418,101.5183
"ZAF","Terengganu",4,4,0,24,-29,5.170658,103.049157
"ZAF","W.P. Labuan",178,78,100,24,-29,5.299798,112.414806
"ZAR","Pulau Pinang",1,0,1,15.266293,-4.441931,5.419481,100.381885
"ZAR","Selangor",22,11,11,15.266293,-4.441931,3.421418,101.5183
"ZMB","Johor",118,68,50,30,-15,1.922581,103.4114
"ZMB","Kedah",13,7,6,30,-15,5.954218,100.714327
"ZMB","Perak",3,0,3,30,-15,4.713235,100.998192
"ZMB","Perlis",1,1,0,30,-15,6.528438,100.24337
"ZMB","Pulau Pinang",27,10,17,30,-15,5.419481,100.381885
"ZMB","Sabah",3,2,1,30,-15,5.321874,115.214806
"ZMB","Sarawak",16,10,6,30,-15,2.495247,110.536555
"ZMB","Selangor",1988,1054,934,30,-15,3.421418,101.5183
"ZWE","Johor",379,179,200,30,-20,1.922581,103.4114
"ZWE","Kedah",27,11,16,30,-20,5.954218,100.714327
"ZWE","Kelantan",5,3,2,30,-20,5.060771,102.0594
"ZWE","Perak",1,0,1,30,-20,4.713235,100.998192
"ZWE","Perlis",9,5,4,30,-20,6.528438,100.24337
"ZWE","Pulau Pinang",68,30,38,30,-20,5.419481,100.381885
"ZWE","Sabah",15,8,7,30,-20,5.321874,115.214806
"ZWE","Sarawak",16,10,6,30,-20,2.495247,110.536555
"ZWE","Selangor",4167,1987,2180,30,-20,3.421418,101.5183
